days,06:00,07:00,08:00,09:00,10:00,11:00,12:00,13:00,14:00,15:00,16:00,17:00,18:00,19:00,20:00,21:00,22:00,23:00
Monday,0,0,0,23,31,30,26,37,58,66,48,22,0,0,0,0,0,0
Tuesday,0,0,0,39,48,38,32,44,59,61,47,26,0,0,0,0,0,0
Wednesday,0,0,0,30,42,41,36,40,52,57,48,29,0,0,0,0,0,0
Thursday,0,0,0,28,41,38,32,38,51,58,52,35,0,0,0,0,0,0
Friday,0,0,0,39,60,61,54,58,68,66,50,28,0,0,0,0,0,0
Saturday,0,0,0,33,49,55,57,66,85,100,91,62,0,0,0,0,0,0
Sunday,,,,,,,,,,,,,,,,,,
