days,06:00,07:00,08:00,09:00,10:00,11:00,12:00,13:00,14:00,15:00,16:00,17:00,18:00,19:00,20:00,21:00,22:00,23:00
Monday,0,0,0,0,45,56,57,59,69,80,74,51,0,0,0,0,0,0
Tuesday,0,0,0,0,24,27,28,34,56,89,100,68,0,0,0,0,0,0
Wednesday,0,0,0,0,13,28,43,43,42,59,69,40,0,0,0,0,0,0
Thursday,0,0,0,0,25,34,40,42,39,37,56,74,0,0,0,0,0,0
Friday,0,0,0,0,34,59,74,71,57,60,72,56,0,0,0,0,0,0
Saturday,0,0,0,0,34,57,71,71,60,53,48,42,0,0,0,0,0,0
Sunday,,,,,,,,,,,,,,,,,,
