days,06:00,07:00,08:00,09:00,10:00,11:00,12:00,13:00,14:00,15:00,16:00,17:00,18:00,19:00,20:00,21:00,22:00,23:00
Monday,0,0,0,20,31,41,44,43,49,58,42,0,0,0,0,0,0,0
Tuesday,0,0,0,14,25,36,43,46,52,66,56,0,0,0,0,0,0,0
Wednesday,0,0,0,14,27,39,42,37,42,56,47,0,0,0,0,0,0,0
Thursday,0,0,0,12,22,33,38,37,39,51,41,0,0,0,0,0,0,0
Friday,0,0,0,8,21,34,39,40,51,59,45,0,0,0,0,0,0,0
Saturday,0,0,0,0,26,51,53,53,79,100,83,44,0,0,0,0,0,0
Sunday,0,0,0,0,40,75,76,61,76,99,81,38,0,0,0,0,0,0
