days,06:00,07:00,08:00,09:00,10:00,11:00,12:00,13:00,14:00,15:00,16:00,17:00,18:00,19:00,20:00,21:00,22:00,23:00
Monday,0,0,18,35,53,61,59,59,72,90,88,62,0,0,0,0,0,0
Tuesday,0,0,42,70,70,51,40,38,35,29,24,16,0,0,0,0,0,0
Wednesday,0,0,24,35,42,46,50,55,66,70,64,46,0,0,0,0,0,0
Thursday,0,0,16,22,25,33,51,50,29,24,70,42,0,0,0,0,0,0
Friday,0,0,7,20,37,51,55,48,37,42,64,50,0,0,0,0,0,0
Saturday,0,0,20,29,37,40,37,40,64,100,98,53,0,0,0,0,0,0
Sunday,0,0,1,12,35,57,61,61,75,87,70,35,0,0,0,0,0,0
