days,06:00,07:00,08:00,09:00,10:00,11:00,12:00,13:00,14:00,15:00,16:00,17:00,18:00,19:00,20:00,21:00,22:00,23:00
Monday,0,0,0,36,53,59,50,34,37,66,66,27,0,0,0,0,0,0
Tuesday,0,0,0,18,33,44,42,34,34,42,40,24,0,0,0,0,0,0
Wednesday,0,0,0,54,54,32,23,36,52,53,37,17,0,0,0,0,0,0
Thursday,0,0,0,30,44,43,30,20,28,44,42,21,0,0,0,0,0,0
Friday,0,0,0,40,42,30,23,33,50,56,45,25,0,0,0,0,0,0
Saturday,0,0,0,37,58,68,59,45,57,96,100,49,0,0,0,0,0,0
Sunday,0,0,0,36,57,68,64,56,62,72,59,29,0,0,0,0,0,0
