days,06:00,07:00,08:00,09:00,10:00,11:00,12:00,13:00,14:00,15:00,16:00,17:00,18:00,19:00,20:00,21:00,22:00,23:00
Monday,0,0,15,30,48,64,73,77,78,69,49,0,0,0,0,0,0,0
Tuesday,0,0,11,50,62,73,73,59,56,69,61,0,0,0,0,0,0,0
Wednesday,0,0,21,44,65,68,62,65,75,72,50,0,0,0,0,0,0,0
Thursday,0,0,36,60,62,52,53,65,72,65,48,0,0,0,0,0,0,0
Friday,0,0,27,44,56,60,62,68,75,66,42,0,0,0,0,0,0,0
Saturday,0,0,0,0,20,68,92,76,83,100,86,51,0,0,0,0,0,0
Sunday,0,0,0,0,37,65,75,65,65,81,69,0,0,0,0,0,0,0
