days,06:00,07:00,08:00,09:00,10:00,11:00,12:00,13:00,14:00,15:00,16:00,17:00,18:00,19:00,20:00,21:00,22:00,23:00
Monday,0,0,0,12,32,53,54,35,25,39,35,0,0,0,0,0,0,0
Tuesday,0,0,0,15,27,36,36,37,51,60,40,0,0,0,0,0,0,0
Wednesday,0,0,0,14,33,43,35,30,41,45,28,0,0,0,0,0,0,0
Thursday,0,0,0,11,28,48,60,60,55,49,34,0,0,0,0,0,0,0
Friday,0,0,0,48,86,45,60,72,65,43,21,0,0,0,0,0,0,0
Saturday,0,0,0,20,47,83,100,90,83,84,64,30,0,0,0,0,0,0
Sunday,,,,,,,,,,,,,,,,,,
