days,06:00,07:00,08:00,09:00,10:00,11:00,12:00,13:00,14:00,15:00,16:00,17:00,18:00,19:00,20:00,21:00,22:00,23:00
Monday,0,0,0,12,24,28,23,21,31,40,31,14,0,0,0,0,0,0
Tuesday,0,0,10,20,27,25,18,17,25,33,32,21,0,0,0,0,0,0
Wednesday,0,0,5,13,23,27,21,16,23,37,37,23,0,0,0,0,0,0
Thursday,0,0,4,10,18,25,25,24,27,34,32,18,0,0,0,0,0,0
Friday,0,0,4,10,19,25,27,32,42,50,42,24,0,0,0,0,0,0
Saturday,0,0,0,9,17,28,38,44,48,69,100,68,0,0,0,0,0,0
Sunday,,,,,,,,,,,,,,,,,,
