days,06:00,07:00,08:00,09:00,10:00,11:00,12:00,13:00,14:00,15:00,16:00,17:00,18:00,19:00,20:00,21:00,22:00,23:00
Monday,0,0,8,17,27,35,38,39,45,52,49,34,0,0,0,0,0,0
Tuesday,0,0,10,20,30,36,34,27,29,56,70,37,0,0,0,0,0,0
Wednesday,0,0,9,19,27,30,30,36,47,55,50,34,0,0,0,0,0,0
Thursday,0,0,1,12,30,42,37,29,37,51,52,36,0,0,0,0,0,0
Friday,0,0,7,20,36,43,41,42,52,60,55,40,0,0,0,0,0,0
Saturday,0,0,0,32,55,70,69,64,77,100,92,53,0,0,0,0,0,0
Sunday,0,0,0,24,43,55,53,46,55,73,69,38,0,0,0,0,0,0
