days,06:00,07:00,08:00,09:00,10:00,11:00,12:00,13:00,14:00,15:00,16:00,17:00,18:00,19:00,20:00,21:00,22:00,23:00
Monday,0,39,60,66,64,66,66,61,58,63,65,54,34,0,0,0,0,0
Tuesday,0,42,84,87,62,52,50,51,58,71,78,69,47,0,0,0,0,0
Wednesday,0,34,74,83,58,50,65,72,63,60,73,75,50,0,0,0,0,0
Thursday,0,32,58,66,58,55,54,49,50,66,80,74,48,0,0,0,0,0
Friday,0,29,62,88,88,69,61,71,86,95,94,79,50,0,0,0,0,0
Saturday,0,0,48,81,99,90,70,62,75,93,100,86,0,0,0,0,0,0
Sunday,0,0,0,63,95,92,70,63,78,94,94,76,0,0,0,0,0,0
