days,06:00,07:00,08:00,09:00,10:00,11:00,12:00,13:00,14:00,15:00,16:00,17:00,18:00,19:00,20:00,21:00,22:00,23:00
Monday,,,,,,,,,,,,,,,,,,
Tuesday,0,0,1,6,16,29,40,41,38,48,51,22,0,0,0,0,0,0
Wednesday,0,0,5,16,30,36,33,35,44,52,45,30,0,0,0,0,0,0
Thursday,0,0,4,8,16,26,36,44,51,52,41,25,0,0,0,0,0,0
Friday,0,0,4,11,22,36,51,61,63,55,41,26,0,0,0,0,0,0
Saturday,0,0,0,20,44,67,70,61,73,100,76,26,0,0,0,0,0,0
Sunday,0,0,0,15,30,48,66,81,89,83,61,34,0,0,0,0,0,0
