days,06:00,07:00,08:00,09:00,10:00,11:00,12:00,13:00,14:00,15:00,16:00,17:00,18:00,19:00,20:00,21:00,22:00,23:00
Monday,0,0,0,0,22,31,30,28,37,44,30,11,0,0,0,0,0,0
Tuesday,0,0,0,2,14,28,30,23,28,41,39,20,0,0,0,0,0,0
Wednesday,0,0,0,11,20,27,34,36,37,36,34,34,0,0,0,0,0,0
Thursday,0,0,0,11,28,34,26,25,34,33,19,6,0,0,0,0,0,0
Friday,0,0,0,9,19,28,34,40,48,55,49,30,0,0,0,0,0,0
Saturday,0,0,0,0,38,63,67,61,78,100,77,32,0,0,0,0,0,0
Sunday,0,0,0,0,61,91,89,74,79,89,74,40,0,0,0,0,0,0
