days,06:00,07:00,08:00,09:00,10:00,11:00,12:00,13:00,14:00,15:00,16:00,17:00,18:00,19:00,20:00,21:00,22:00,23:00
Monday,0,0,18,38,56,62,52,40,38,44,49,45,33,0,0,0,0,0
Tuesday,0,0,19,27,35,41,46,53,63,72,73,63,45,0,0,0,0,0
Wednesday,0,0,19,31,42,51,56,58,58,56,51,43,32,0,0,0,0,0
Thursday,0,0,24,38,46,46,43,49,63,72,66,46,25,0,0,0,0,0
Friday,0,0,23,52,61,50,50,58,66,68,65,57,46,0,0,0,0,0
Saturday,0,0,0,17,43,60,51,48,71,98,100,72,38,0,0,0,0,0
Sunday,0,0,0,0,32,53,53,47,59,77,81,63,36,0,0,0,0,0
