days,06:00,07:00,08:00,09:00,10:00,11:00,12:00,13:00,14:00,15:00,16:00,17:00,18:00,19:00,20:00,21:00,22:00,23:00
Monday,,,,,,,,,,,,,,,,,,
Tuesday,,,,,,,,,,,,,,,,,,
Wednesday,0,0,0,0,0,18,13,20,32,40,40,0,0,0,0,0,0,0
Thursday,0,0,0,0,0,12,16,24,31,34,31,0,0,0,0,0,0,0
Friday,0,0,0,0,0,19,9,15,26,32,27,0,0,0,0,0,0,0
Saturday,0,0,0,0,0,48,37,50,90,100,66,0,0,0,0,0,0,0
Sunday,0,0,0,0,0,13,19,16,24,60,74,0,0,0,0,0,0,0
